code_barrios,name_barrios,noise_pollution,noise_units,pm_10,pm_units,carbon_monoxide,co_units,rainfall,rain_units,solar_radiation,solar_units,temperature,temp_units,trees_density,trees_units,mpi_index
172,San Cristobal,91.12,60.07,105.97,37.73,104.04,0.35,102.93,4.79,95.04,198.82,79.7,13.72,92.1,3172.64,96.74
173,Butarque,94.01,60.59,103.73,37.08,104.04,0.35,106.14,5.02,86.37,195.94,79.07,13.66,113.84,578.45,99.69
175,Los Angeles,88.45,59.59,109.2,38.67,104.04,0.35,98.47,4.47,108.47,203.28,80.86,13.83,85.3,3984.76,97.78
174,Los Rosales,92.79,60.37,106.07,37.76,104.04,0.35,110.19,5.31,72.61,191.37,61.86,12.02,86.76,3810.34,94.25
171,"Villaverde Alto, Casco Historico de Villaverde",83.17,58.64,109.68,38.81,104.04,0.35,94.98,4.22,119.52,206.95,85.69,14.29,109.09,1144.74,102.67
121,Orcasitas,94.9,60.75,118.99,41.52,104.04,0.35,98.33,4.46,108.68,203.35,97.97,15.46,80.49,4558.54,101.92
183,Ensanche de Vallecas,99.35,61.55,101.6,36.46,97.77,0.33,96.37,4.32,128.85,210.05,101.33,15.78,94.56,2879.77,104.18
116,Buenavista,97.02,61.13,107.21,38.09,110.31,0.37,98.19,4.45,105.88,202.42,101.23,15.77,103.83,1773.46,103.61
106,Cuatro Vientos,113.48,64.09,97.79,35.35,104.04,0.35,98.89,4.5,101.72,201.04,99.97,15.65,116.42,270.31,105.14
123,San Fermin,94.96,60.76,105.11,37.48,104.04,0.35,114.1,5.59,60.66,187.4,64.9,12.31,100.88,2124.69,96.82
181,Casco Historico de Vallecas,97.07,61.14,100.68,36.19,97.77,0.33,100.84,4.64,109.49,203.62,93.98,15.08,117.63,126.47,103.16
122,Orcasur,95.07,60.78,109.58,38.78,104.04,0.35,104.47,4.9,85.62,195.69,94.51,15.13,100.82,2132.31,99.81
126,Zofio,103.41,62.28,142.09,48.24,100.91,0.34,98.75,4.49,100.94,200.78,106.9,16.31,93.41,3016.95,109.08
127,Pradolongo,99.13,61.51,123.32,42.78,104.04,0.35,100.14,4.59,95.73,199.05,105.85,16.21,70.48,5753.5,102.29
117,Abrantes,98.96,61.48,130.92,44.99,107.18,0.36,98.47,4.47,103.47,201.62,106.27,16.25,70.9,5702.44,105.36
115,Puerta Bonita,91.12,60.07,106.83,37.98,116.58,0.39,98.33,4.46,102.93,201.44,105.22,16.15,104.16,1733.88,104.18
124,Almendrales,96.74,61.08,110.3,38.99,107.18,0.36,102.79,4.78,86.25,195.9,113.72,16.96,102.39,1944.4,103.59
182,Santa Eugenia,106.08,62.76,101.57,36.45,94.64,0.32,96.65,4.34,129.69,210.33,100.07,15.66,101.53,2047.93,105.65
114,Vista Alegre,89.23,59.73,99.23,35.77,119.72,0.4,98.19,4.45,101.82,201.07,105.22,16.15,104.77,1660.2,103.43
131,Entrevias,94.07,60.6,100.95,36.27,100.91,0.34,113.68,5.56,63.95,188.49,71.72,12.96,105.23,1606.22,96.52
107,Aguilas,110.36,63.53,96.1,34.86,104.04,0.35,98.19,4.45,101.36,200.92,100.81,15.73,100.57,2162.18,101.84
134,Palomeras Sureste,92.34,60.29,100.16,36.04,94.64,0.32,101.68,4.7,116.69,206.01,92.2,14.91,94.18,2924.04,99.61
133,Palomeras Bajas,89.01,59.69,99.99,35.99,97.77,0.33,105.45,4.97,94.47,198.63,103.64,16.0,84.63,4063.94,97.02
24,Legazpi,87.12,59.35,98.17,35.46,104.04,0.35,106.0,5.01,81.04,194.17,111.72,16.77,78.51,4795.11,97.02
125,Moscardo,100.63,61.78,121.81,42.34,104.04,0.35,100.0,4.58,93.57,198.33,114.98,17.08,97.67,2508.14,105.65
112,Opanel,98.02,61.31,130.16,44.77,110.31,0.37,98.61,4.48,99.35,200.25,108.79,16.49,103.11,1859.36,108.11
132,San Diego,94.24,60.63,99.09,35.73,97.77,0.33,106.14,5.02,88.15,196.53,111.3,16.73,105.62,1559.11,100.96
135,Portazgo,86.17,59.18,100.02,36.0,94.64,0.32,102.65,4.77,112.92,204.76,97.45,15.41,93.04,3061.18,98.85
111,Comillas,101.24,61.89,124.46,43.11,107.18,0.36,99.16,4.52,96.28,199.23,111.41,16.74,101.16,2092.08,106.72
105,Campamento,102.3,62.08,94.28,34.33,100.91,0.34,99.03,4.51,100.43,200.61,99.34,15.59,116.89,213.76,102.38
23,Chopera,97.57,61.23,102.88,36.83,110.31,0.37,101.68,4.7,90.95,197.46,122.33,17.78,106.12,1499.6,105.5
25,Delicias,79.33,57.95,94.87,34.5,107.18,0.36,103.35,4.82,89.11,196.85,116.03,17.18,99.43,2297.89,99.95
