name_barrios,noise_pollution,pm_10,carbon_monoxide,rainfall,solar_radiation,temperature,trees_density,mpi_index
San Cristobal,91.12,105.97,104.04,102.93,95.04,79.7,92.1,96.74
Butarque,94.01,103.73,104.04,106.14,86.37,79.07,113.84,99.69
Los Angeles,88.45,109.2,104.04,98.47,108.47,80.86,85.3,97.78
Los Rosales,92.79,106.07,104.04,110.19,72.61,61.86,86.76,94.25
"Villaverde Alto, Casco Historico de Villaverde",83.17,109.68,104.04,94.98,119.52,85.69,109.09,102.67
Orcasitas,94.9,118.99,104.04,98.33,108.68,97.97,80.49,101.92
Ensanche de Vallecas,99.35,101.6,97.77,96.37,128.85,101.33,94.56,104.18
Buenavista,97.02,107.21,110.31,98.19,105.88,101.23,103.83,103.61
Cuatro Vientos,113.48,97.79,104.04,98.89,101.72,99.97,116.42,105.14
San Fermin,94.96,105.11,104.04,114.1,60.66,64.9,100.88,96.82
Casco Historico de Vallecas,97.07,100.68,97.77,100.84,109.49,93.98,117.63,103.16
Orcasur,95.07,109.58,104.04,104.47,85.62,94.51,100.82,99.81
Zofio,103.41,142.09,100.91,98.75,100.94,106.9,93.41,109.08
Pradolongo,99.13,123.32,104.04,100.14,95.73,105.85,70.48,102.29
Abrantes,98.96,130.92,107.18,98.47,103.47,106.27,70.9,105.36
Puerta Bonita,91.12,106.83,116.58,98.33,102.93,105.22,104.16,104.18
Almendrales,96.74,110.3,107.18,102.79,86.25,113.72,102.39,103.59
Santa Eugenia,106.08,101.57,94.64,96.65,129.69,100.07,101.53,105.65
Vista Alegre,89.23,99.23,119.72,98.19,101.82,105.22,104.77,103.43
Entrevias,94.07,100.95,100.91,113.68,63.95,71.72,105.23,96.52
Aguilas,110.36,96.1,104.04,98.19,101.36,100.81,100.57,101.84
Palomeras Sureste,92.34,100.16,94.64,101.68,116.69,92.2,94.18,99.61
Palomeras Bajas,89.01,99.99,97.77,105.45,94.47,103.64,84.63,97.02
Legazpi,87.12,98.17,104.04,106.0,81.04,111.72,78.51,97.02
Moscardo,100.63,121.81,104.04,100.0,93.57,114.98,97.67,105.65
Opanel,98.02,130.16,110.31,98.61,99.35,108.79,103.11,108.11
San Diego,94.24,99.09,97.77,106.14,88.15,111.3,105.62,100.96
Portazgo,86.17,100.02,94.64,102.65,112.92,97.45,93.04,98.85
Comillas,101.24,124.46,107.18,99.16,96.28,111.41,101.16,106.72
Campamento,102.3,94.28,100.91,99.03,100.43,99.34,116.89,102.38
Chopera,97.57,102.88,110.31,101.68,90.95,122.33,106.12,105.5
Delicias,79.33,94.87,107.18,103.35,89.11,116.03,99.43,99.95
Aluche,89.56,93.18,107.18,97.49,101.18,102.38,103.74,99.63
Pavones,95.46,99.64,91.51,102.51,122.01,78.97,93.17,99.37
Valderrivas,102.24,99.06,94.64,97.49,119.85,96.92,89.65,100.9
San Isidro,83.5,97.75,129.12,98.33,99.74,109.73,98.5,104.31
Valdebernardo,99.41,99.64,94.64,99.44,121.56,92.51,98.94,101.78
Numancia,94.79,99.58,94.64,102.51,106.15,109.63,98.73,101.17
Adelfas,98.35,97.24,97.77,103.21,96.13,113.4,91.81,100.18
Acacias,103.13,106.62,113.45,100.14,95.46,112.98,91.06,103.96
Pacifico,99.8,93.08,97.77,102.65,94.86,110.68,99.73,100.13
Palos de Moguer,106.25,97.41,110.31,101.82,93.6,113.72,99.12,103.68
Fontarron,94.4,99.99,91.51,102.24,117.08,94.09,82.2,98.56
Atocha,92.12,94.32,100.91,103.77,90.92,111.2,107.42,100.71
Carmenes,83.89,92.74,122.85,97.35,100.55,106.9,89.06,100.74
Vinateros,93.79,100.16,91.51,102.1,119.52,93.56,88.55,99.56
Lucero,81.28,83.73,97.77,96.09,101.54,101.12,84.29,93.1
Horcajo,96.91,98.75,91.51,100.98,119.0,88.21,92.73,99.34
Imperial,97.91,104.8,116.58,98.89,98.05,108.47,99.0,103.87
Embajadores,111.92,101.84,119.72,100.7,96.07,110.99,105.61,107.3
Marroquina,95.29,99.75,91.51,101.12,116.9,95.35,96.57,100.19
Nino Jesus,108.31,95.25,91.51,101.26,99.26,109.31,101.89,101.38
Puerta del Angel,87.06,92.29,110.31,96.65,100.19,104.59,104.51,100.01
Media Legua,99.85,100.13,91.51,100.42,108.14,104.38,97.15,100.5
Cortes,117.71,101.02,122.85,101.12,96.64,111.3,104.43,108.74
Sol,104.86,101.88,132.26,100.56,97.06,111.83,108.83,109.45
Estrella,105.41,100.43,91.51,100.28,103.11,107.74,86.44,99.86
Jeronimos,120.04,92.19,94.64,101.54,97.12,109.63,111.57,104.82
Ibiza,113.76,109.71,88.37,100.28,100.61,109.0,102.01,104.08
