station;year;month;day;period;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99
2;2019;12;31;D;074.7;084.1;079.9;068.8;063.2;059.3
2;2019;12;31;E;077.1;085.7;082.4;067.8;061.5;058.8
2;2019;12;31;N;067.1;072.7;069.8;065.2;059.5;056.1
2;2019;12;31;T;074.0;084.4;078.0;067.3;061.0;057.0
3;2019;12;31;D;061.4;071.4;064.2;057.7;053.3;049.8
3;2019;12;31;E;059.1;067.0;061.1;055.7;052.7;051.1
3;2019;12;31;N;060.5;070.5;063.8;056.4;050.2;046.1
3;2019;12;31;T;061.0;071.0;063.8;057.1;052.4;047.3
5;2019;12;31;D;061.1;067.8;063.3;059.5;055.2;051.5
5;2019;12;31;E;062.0;069.0;062.5;057.8;048.9;044.3
5;2019;12;31;N;054.2;062.4;057.4;049.7;043.0;041.0
5;2019;12;31;T;059.9;066.9;062.5;057.2;045.7;041.6
6;2019;12;31;D;070.4;077.0;073.7;067.4;062.9;059.0
6;2019;12;31;E;068.6;075.5;072.7;065.9;060.0;054.1
6;2019;12;31;N;066.4;074.0;070.0;063.6;055.9;049.2
6;2019;12;31;T;069.0;076.4;072.8;066.0;059.0;051.3
8;2019;12;31;D;065.4;072.8;068.2;063.4;057.4;052.7
8;2019;12;31;E;063.9;071.5;066.6;061.0;056.0;052.3
8;2019;12;31;N;063.7;071.4;067.4;061.2;051.9;046.2
8;2019;12;31;T;064.5;071.9;067.7;062.2;055.3;047.8
10;2019;12;31;D;066.0;073.1;068.5;061.0;055.0;050.9
10;2019;12;31;E;063.3;072.0;067.2;059.6;049.0;043.1
10;2019;12;31;N;059.1;069.9;063.0;052.8;044.3;041.5
10;2019;12;31;T;064.1;072.4;067.1;058.6;047.2;042.2
11;2019;12;31;D;067.1;074.5;069.1;064.9;058.8;053.2
11;2019;12;31;E;066.3;078.0;068.5;062.2;050.9;041.4
11;2019;12;31;N;060.2;069.0;064.2;055.1;043.4;039.8
11;2019;12;31;T;065.5;074.2;068.3;061.8;047.8;040.5
12;2019;12;31;D;062.7;069.7;064.0;060.4;056.8;053.9
12;2019;12;31;E;064.2;071.6;062.9;059.0;052.8;047.5
12;2019;12;31;N;057.3;063.9;060.3;055.0;047.7;042.7
12;2019;12;31;T;061.9;068.8;063.2;058.7;050.7;044.6
13;2019;12;31;D;063.3;067.2;060.1;056.0;052.8;051.4
13;2019;12;31;E;070.4;079.4;063.8;057.0;053.0;050.5
13;2019;12;31;N;053.2;061.0;055.5;051.1;050.1;049.3
13;2019;12;31;T;073.5;073.8;060.2;054.9;050.6;049.8
14;2019;12;31;D;064.9;071.3;066.2;063.4;060.1;056.3
14;2019;12;31;E;065.7;075.2;066.8;063.5;059.8;055.6
14;2019;12;31;N;060.1;067.5;063.4;058.0;051.8;047.5
14;2019;12;31;T;064.0;071.5;065.8;062.4;055.1;049.1
16;2019;12;31;D;061.8;067.8;064.9;060.1;050.3;044.8
16;2019;12;31;E;061.9;068.6;065.6;059.5;046.4;039.9
16;2019;12;31;N;057.0;066.1;061.8;050.6;040.0;038.0
16;2019;12;31;T;060.7;067.7;064.6;057.7;043.0;038.5
17;2019;12;31;D;065.0;070.0;060.1;054.8;050.1;047.6
17;2019;12;31;E;064.4;075.0;060.5;054.3;048.4;045.7
17;2019;12;31;N;049.7;059.3;052.2;045.0;041.4;040.0
17;2019;12;31;T;063.9;070.9;059.3;052.7;043.2;040.4
18;2019;12;31;D;070.3;071.6;065.6;056.1;047.8;045.1
18;2019;12;31;E;078.6;076.4;064.8;056.7;046.6;043.8
18;2019;12;31;N;049.4;059.4;052.6;045.5;042.6;041.3
18;2019;12;31;T;072.5;071.3;063.8;052.6;043.9;042.0
19;2019;12;31;D;062.3;067.4;062.9;057.7;052.7;049.7
19;2019;12;31;E;064.5;071.4;063.5;058.1;050.8;046.2
19;2019;12;31;N;054.6;064.7;058.3;049.3;042.4;038.7
19;2019;12;31;T;062.4;067.8;062.3;056.0;045.9;040.1
20;2019;12;31;D;060.7;068.0;063.2;058.4;055.1;053.2
20;2019;12;31;E;063.3;070.6;062.7;057.6;053.4;052.2
20;2019;12;31;N;055.9;065.1;058.1;053.2;052.0;046.1
20;2019;12;31;T;060.4;067.8;062.4;056.8;052.6;051.7
24;2019;12;31;D;050.5;056.8;053.2;049.0;044.2;041.3
24;2019;12;31;E;047.6;056.0;049.7;045.7;043.3;042.1
24;2019;12;31;N;044.6;052.4;046.7;043.3;041.5;041.0
24;2019;12;31;T;048.9;056.3;051.9;046.5;042.2;041.1
25;2019;12;31;D;067.1;070.2;068.5;066.8;064.7;062.4
25;2019;12;31;E;066.8;070.8;068.7;066.9;060.5;055.1
25;2019;12;31;N;062.7;067.7;065.6;062.0;055.7;049.7
25;2019;12;31;T;066.0;069.9;068.3;065.8;058.4;051.2
26;2019;12;31;D;061.2;067.9;064.7;058.8;056.2;054.2
26;2019;12;31;E;061.1;068.0;064.5;059.0;055.5;052.4
26;2019;12;31;N;057.3;066.5;060.3;054.9;048.1;044.5
26;2019;12;31;T;060.2;067.8;064.0;057.8;051.6;046.0
27;2019;12;31;D;062.1;072.6;066.3;055.1;046.9;042.4
27;2019;12;31;E;063.2;072.8;066.5;055.3;050.4;047.0
27;2019;12;31;N;057.7;070.4;059.2;049.9;042.7;039.2
27;2019;12;31;T;061.4;072.1;064.8;053.3;045.0;040.4
28;2019;12;31;D;068.0;075.7;072.1;064.6;054.4;047.9
28;2019;12;31;E;069.6;075.1;071.7;062.4;048.7;042.4
28;2019;12;31;N;060.6;072.0;064.6;049.8;042.0;039.6
28;2019;12;31;T;067.3;075.0;071.1;060.5;044.1;040.6
29;2019;12;31;D;056.9;065.8;061.3;051.5;044.5;039.9
29;2019;12;31;E;054.6;065.3;059.1;047.7;037.3;034.2
29;2019;12;31;N;048.6;061.7;049.3;037.8;033.1;032.1
29;2019;12;31;T;054.9;065.1;059.6;047.5;034.4;032.4
30;2019;12;31;D;057.9;064.9;060.6;055.6;051.3;049.2
30;2019;12;31;E;056.1;063.7;059.4;054.1;045.9;042.8
30;2019;12;31;N;053.6;064.0;055.8;048.7;043.6;042.0
30;2019;12;31;T;056.6;064.7;059.7;053.3;045.1;042.2
31;2019;12;31;D;064.6;073.8;069.5;057.9;052.1;048.3
31;2019;12;31;E;060.6;072.0;063.9;053.5;045.0;042.5
31;2019;12;31;N;054.0;067.4;052.0;046.6;043.1;040.6
31;2019;12;31;T;062.3;073.0;067.4;053.7;044.4;041.4
47;2019;12;31;D;052.8;062.1;055.4;049.4;044.6;042.5
47;2019;12;31;E;052.8;062.7;053.6;047.2;043.2;041.3
47;2019;12;31;N;049.3;061.6;048.2;043.0;040.1;039.0
47;2019;12;31;T;052.7;062.2;054.4;046.7;041.7;039.3
48;2019;12;31;D;063.0;068.2;064.4;061.5;057.2;053.6
48;2019;12;31;E;061.7;068.7;064.2;060.7;055.5;051.7
48;2019;12;31;N;058.7;064.7;062.2;057.4;050.7;047.5
48;2019;12;31;T;061.7;067.5;063.9;060.2;053.4;048.6
50;2019;12;31;D;065.7;071.0;066.6;063.4;059.7;057.1
50;2019;12;31;E;066.8;076.0;066.5;062.6;056.6;052.0
50;2019;12;31;N;060.9;067.2;063.8;058.5;052.5;048.9
50;2019;12;31;T;064.8;070.3;065.9;061.9;054.8;050.0
54;2019;12;31;D;061.1;067.5;064.2;059.9;054.6;050.4
54;2019;12;31;E;062.0;067.7;063.7;058.9;046.7;042.2
54;2019;12;31;N;054.8;064.4;058.8;049.8;043.1;041.4
54;2019;12;31;T;060.0;067.0;063.4;057.7;044.9;041.9
55;2019;12;31;D;056.3;064.7;059.4;052.5;047.8;044.7
55;2019;12;31;E;060.3;065.3;058.6;051.6;046.5;043.4
55;2019;12;31;N;051.3;061.2;053.8;047.2;042.5;040.8
55;2019;12;31;T;056.5;064.0;058.1;050.7;044.2;041.3
86;2019;12;31;D;058.1;066.4;060.1;052.4;045.7;041.2
86;2019;12;31;E;060.0;067.1;060.8;051.8;040.7;038.2
86;2019;12;31;N;049.3;061.5;050.6;040.7;037.1;036.1
86;2019;12;31;T;057.1;065.8;058.9;049.1;038.2;036.4
2;2019;12;30;D;070.1;075.8;071.7;069.1;066.0;063.2
2;2019;12;30;E;071.5;081.6;072.1;068.7;065.4;062.5
2;2019;12;30;N;066.3;072.8;069.5;064.3;058.3;054.7
2;2019;12;30;T;069.5;077.5;071.3;068.2;061.8;056.2
3;2019;12;30;D;063.1;071.2;065.7;061.2;056.4;050.1
3;2019;12;30;E;061.4;069.0;064.1;059.3;056.1;053.6
3;2019;12;30;N;058.4;068.7;061.2;053.9;049.5;047.1
3;2019;12;30;T;061.6;070.2;064.6;059.2;051.6;048.0
5;2019;12;30;D;061.3;066.9;063.6;060.2;056.6;053.3
5;2019;12;30;E;064.3;069.6;064.0;060.1;055.8;052.2
5;2019;12;30;N;053.7;062.6;057.7;049.9;043.3;041.2
