Nº;Nombre;COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;Dirección;Longitud_gms;Latitud_gms;LATITUD_ED50;LONGITUD_ED50;Alt.(m);Fecha alta;Coordenada_X_ETRS89;Coordenada_Y_ETRS89;LONGITUD_WGS84;LATITUD_WGS84
1;Pº Recoletos;633005;PASEO;DE;RECOLETOS;Frente calle Almirante;3º41'27'' Oº;40º25'24'' N;40.4233333333333;-3.69083333333333;648;40609;441302,8676;4474895,436;-3.6919264;40.42262
2;Carlos V;264800;PLAZA;DEL;EMPERADOR CARLOS V;Pza del Emperador Carlos V/ Infanta Isabel;3º41'25 Oº;"40º24'36"" N";40.41;-3.69027777777778;629;36130;441328,186;4473395,505;-3.6914896;40.4091095
3;Plaza del Carmen;145800;PLAZA;DEL;CARMEN;Plaza del Carmen;"3º42'17"" Oº";"40º25'16"" N";40.4211111111111;-3.70472222222222;657;36465;440346,3619;4474524,357;-3.7031662;40.4192091
4;Plaza de España;273600;PLAZA;DE;ESPAÑA;Frente Edificio España;"3º42'40"" Oº";"40º25'40"" N";40.4277777777778;-3.71111111111111;637;36130;439579,3291;4475049,263;-3.7122567;40.4238823
5;Bº del Pilar;514425;AVENIDA;DE;MONFORTE DE LEMOS;Monforte Lemos-Av.Betanzos-La Vaguada;"3º42'55"" Oº";"40º28'37"" N";40.4769444444444;-3.71527777777778;673;36318;439689,0496;4481081,619;-3.7115364;40.4782322
6;Gregorio Marañón;153600;PASEO;DE LA;CASTELLANA;Lateral Pº Castellana-C/Miguel Angel;"3º41'22"" Oº";"40º26'33"" N";40.4425;-3.68944444444444;669;36312;441412,6622;4476553,971;-3.6907851;40.4375685
8;Escuelas Aguirre;18900;CALLE;DE;ALCALA;Alcala-Odonnell;"3º40'52"" Oº";"40º25'32"" N";40.4255555555556;-3.68111111111111;672;36130;442117,2366;4474770,696;-3.6823158;40.4215533
10;Cuatro Caminos;554550;AVENIDA;DE;PABLO IGLESIAS;Av.Pablo Iglesias-PºS.Fco de Sales;"3º42'18"" Oº";"40º26'38"" N";40.4438888888889;-3.705;699;36244;440033,4632;4477450,211;-3.7071303;40.4455439
11;Ramón y Cajal;610450;CALLE;DEL;PRINCIPE DE VERGARA;Ppe.Vergara-Parque Berlín;"3º40'33"" Oº";"40º27' 9"" N";40.4525;-3.67583333333333;708;36130;442564,0457;4478088,595;-3.6773491;40.4514734
12;Manuel Becerra;242000;CALLE;DEL;DOCTOR GOMEZ ULLA;Dr.Gómez Ulla-Jardines Eva Duarte;"3º40'02"" Oº";"40º25'52"" N";40.4311111111111;-3.66722222222222;678;36130;443289,3624;4475567,373;-3.6685709;40.4288108
13;Vallecas;75500;CALLE;DEL;ARROYO DEL OLIVAR;C/Arroyo del Olivar-Rio San Lorenzo;"3º40'03"" Oº";"40º23'50"" N";40.3972222222222;-3.6675;677;36475;444701,6871;4471043,01;-3.6515286;40.3881478
14;Fernández Ladreda;293200;PLAZA;;ELIPTICA;Plaza Fernández Ladreda, 4;"3º43'7,4"" Oº";"40º23'5,8"" N";40.3847222222222;-3.71872222222222;605;40169;438991,9161;4470741,548;-3.7187679;40.3850336
16;Arturo Soria;798700;CALLE;DEL;VIZCONDE DE LOS ASILOS;C/Vizconde de los Asilos;"3º38'15"" Oº";"40º20'49,56"" N";40.3469444444444;-3.6375;698;36130;445786,1729;4476796,019;-3.6392422;40.4400457
17;Villaverde;417200;CALLE;DE;JUAN PEÑALVER;C/ Juan Peñalver;"3º42'47,98""Oº";"40º20'49,6""N";40.3469444444444;-3.71305555555556;601;36130;439420,7015;4466532,455;-3.7133167;40.347147
18;Farolillo;1903;CALLE;DEL;FAROLILLO;C/ Farolillo;"3º43'48"" Oº";"40º23'44"" N";40.3955555555556;-3.73;625;36130;437891,6961;4471832,769;-3.7318356;40.3947825
19;Alto Extremadura;367300;CALLE;DE LA;HUERTA DE CASTAÑEDA;C/Huerta Castañeda;"3º44'16"" Oº";"40º24'40"" N";40.4111111111111;-3.73777777777778;632;36130;437050,0926;4473291,752;-3.7418959;40.4078624
20;Avda Moratalaz;522000;AVENIDA;DE;MORATALAZ;Av.Moratalaz-Camino Vinateros;"3º38'59"" Oº";"40º24'25"" N";40.4069444444444;-3.64972222222222;671;36130;445245,513;4473237,349;-3.6453104;40.4079517
24;Casa de Campo;905219;CARRETERA;DEL;TELEFERICO;Junto a Teleférico-Cerro de las Animas;"3º44'56"" Oº";"40º25'18"" N";40.4216666666667;-3.74888888888889;645;36130;436598,5637;4474571,618;-3.7473445;40.4193577
25;Santa Eugenia;604750;CALLE;DE;POZA DE LA SAL;C/ Poza de la Sal;"3º36' 4"" Oº";"40º22'48"" N";40.38;-3.60111111111111;653;36130;448853,3888;4470003,646;-3.6025322;40.3790498
26;Embajada;729200;CALLE;DE;SOTO HIDALGO;Parque Soto Hidalgo, 2;"3º34'44""Oº";"40º27'37,7""N";40.4602777777778;-3.57888888888889;618;40605;450804,3;4478900,4;-3.5802389;40.4593153
27;Barajas Pueblo;425700;CALLE;DE;JUPITER;Júpiter (frente al 21);"3º34'43,8""Oº";"40º28'41,2""N";40.4780555555556;-3.57861111111111;627;37400;450835,2026;4480854,172;-3.5800258;40.4769179
28;Cuatro Vientos;84000;AVENIDA;DE LA;AVIACION;Avd. de la Aviación;"3º46'35,9""Oº";"40º22'34,9"" N";40.3761111111111;-3.77638888888889;677,5;37741;433968,5179;4469692,276;-3.7778375;40.3751984
29;El Pardo;348500;AVENIDA;DE LA;GUARDIA;Avd. de la Guardia;"3º46'24,4""Oº";"40º31'9,4""N";40.5191666666667;-3.77333333333333;616;37895;434381,6;4485548,7;-3.7746101;40.5180701
30;Campo de las Naciones;1111;CALLE;DE LA;RIBERA DEL SENA;Rivera del Sena S/N;"3º36'54,9""Oº";"40º27'42,9""N";40.4616666666667;-3.615;686,5;37935;447744,4666;4479077,678;-3.6163407;40.4607255
31;Sanchinarro;31000002;CALLE;DE LA;PRINCESA DE EBOLI;C/ Princesa de Évoli esq. C/ María Tudor;"3º39'37,82""O";"40º29'39,14""N";40.4941666666667;-3.66050555555556;700;40008;444026,808;4482820,581;-3.6605173;40.4942012
47;Mendez Álvaro;414800;CALLE;DE;JUAN DE MARIANA;C/ Juan de Mariana-Pz Amanecer en Méndez Álvaro;3º41'12,57''Oº;40º23'53,21'';40.3980555555556;-3.686825;609;40196;441715,4303;4472170,249;-3.6868138;40.3980991
48;Castellana;401400;CALLE;DE;JOSE GUTIERREZ ABASCAL;C/ José Gutierrez Abascal;"3°41'25.28""O";"40°26'23.44""N";40.4397222222222;-3.69035555555556;685;40302;441449,6341;4476811,42;-3.6903729;40.4398904
50;Pza de Castilla;154500;PLAZA;DE;CASTILLA;Plaza Castilla (Canal);"3º41'19""O";"40º27'56""N";40.4655555555556;-3.68861111111111;728;40602;441609,9474;4479662,346;-3.6887449;40.4655841
54;Ensanche de Vallecas;31000516;AVENIDA;DE;LA GAVIA;Avda. de Gavia / Avda. de las Suertes;"3º36'43,7""Oº";"40º27'45,1""N";40.4625;-3.61213888888889;619;40162;448033,2263;4469339,044;-3.6121394;40.3730118
55;Urb Embajada 2;639250;CALLE;DE;RIAÑO;C/ Riaño;"3º34'50,4""Oº";"40º27'45,1""N";40.4625;-3.58066666666667;619;40254;450778,8839;4479238,863;-3.5805649;40.4623628
86;Tres Olivos;1427;PLAZA;DE LOS;TRES OLIVOS;Plaza de Tres Olivos;"3º41'23""Oº";40º30'2''N;40.5005555555556;-3.68972222222222;715;40217;441556,7005;4483543,994;-3.6897308;40.5005477
