district_id,district,street_type,street_details,location,location_id,green_area_ZV_road_trees_AV,specie,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Alberto Aguilera (Centro),3,AV,Platanus x hybrida,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Almudena,3,AV,Arbutus unedo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Ángel,6,AV,Acer saccharinum 'Disecta',4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Travesía,,Arenal,4,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Atocha,12,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Augusto Figueroa,35,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Augusto Figueroa,45,AV,Malus floribunda,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Bailén,15,AV,Aesculus hippocastanum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Ballesta,6,AV,Hibiscus syriacus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Ballesta,6,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Barbieri,14,AV,Cercis siliquastrum,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Barceló,5,AV,Sophora japonica,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Calatrava,29,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Campillo del Mundo Nuevo,9,AV,Acer pseudoplatanus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Plaza,,Campillo del Mundo Nuevo,3,AV,Ligustrum japonicum 'Variegata',1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Calle,,Cañizares,6,AV,Ligustrum japonicum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,Centro,Costanilla,,Capuchinos,2,AV,Lagerstroemia indica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
